['Finance', 'Certified', '53783', 'AMERICAN FAMILY MUTUAL INSURANCE COMPANY', 'Market Research Analysts and Marketing Specialists*', 'INDIA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53719', 'ISR INFO WAY,INC', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Database Administrators', 'INDIA']
['IT', 'Certified', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Computer Systems Analysts', 'INDIA']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Mathematical Science Teachers, Postsecondary', 'CHINA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['Hospitality', 'Certified', '53705', 'NEW SEOUL KOREAN RESTAURANT, LLC', 'Chefs and Head Cooks', 'SOUTH KOREA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['Finance', 'Certified', '53705', 'CMFG LIFE INSURANCE COMPANY', 'Computer Systems Analysts', 'INDIA']
['Finance', 'Certified', '53705', 'CMFG LIFE INSURANCE COMPANY', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Economics Teachers, Postsecondary', 'URUGUAY']
['IT', 'Certified', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Software Developers, Applications', 'INDIA']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Agricultural Sciences Teachers, Postsecondary', 'CANADA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53717', 'GEORGE VENTURES LLC', 'Computer Systems Analysts', 'INDIA']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Biological Science Teachers, Postsecondary', 'JAPAN']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Economics Teachers, Postsecondary', 'CHINA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['Advanced Mfg', 'Certified', '53711', 'CAMECA INSTRUMENTS, INC.', 'Sales Managers', 'UNITED KINGDOM']
['Advanced Mfg', 'Certified', '53711', 'PACIFIC CYCLE, INC', 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53719', 'ISR INFO WAY,INC', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53719', 'ISR INFO WAY,INC', 'Software Developers, Applications', 'INDIA']
['Aerospace', 'Certified', '53719', 'MEAD & HUNT, INC.', 'Civil Engineers', 'INDIA']
['Advanced Mfg', 'Certified', '53704', 'COVANCE LABORATORIES INC', 'Biochemists and Biophysicists', 'INDIA']
['Educational Services', 'Certified', '53703', 'MADISON METROPOLITAN SCHOOL DISTRICT', 'Elementary School Teachers, Except Special Education', 'CHILE']
['Energy', 'Certified', '53704', 'QUALITY POWER SOLUTIONS', 'Electronics Engineers, Except Computer', 'INDIA']
['Health Care', 'Certified', '53713', "ST. MARY'S DEAN VENTURES, INC.", 'Family and General Practitioners', 'CANADA']
['IT', 'Certified', '53719', 'ISR INFO WAY,INC', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53719', 'ISR INFO WAY,INC', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53719', 'ISR INFO WAY,INC', 'Software Developers, Applications', 'INDIA']
['Finance', 'Certified', '53717', 'DEAN HEALTH PLAN', 'Actuaries', 'CHINA']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Engineering Teachers, Postsecondary', 'TURKEY']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Internists, General', 'GERMANY']
['IT', 'Certified', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Computer Systems Analysts', 'INDIA']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Mathematical Science Teachers, Postsecondary', 'CANADA']
['Advanced Mfg', 'Certified', '53711', 'CAMECA INSTRUMENTS, INC.', 'Electronics Engineers, Except Computer', 'IRELAND']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Economists', 'TURKEY']
['Educational Services', 'Certified', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Economics Teachers, Postsecondary', 'SPAIN']
['IT', 'Certified', '53719', 'ISR INFO WAY,INC', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '53703', 'SYMPHONY CORPORATION', 'Software Developers, Applications', 'INDIA']
['', 'Denied', '53704', 'QUALITY POWER SOLUTIONS', 'Electronics Engineers, Except Computer', 'INDIA']
['', 'Denied', '53719', 'BIT360, INC.', 'Computer Software Engineers, Systems Software', 'PAKISTAN']
['IT', 'Withdrawn', '53717', 'GENOME INTERNATIONAL CORPORATION', 'Software Developers, Applications', 'INDIA']
['Aerospace', 'Withdrawn', '53719', 'MEAD & HUNT, INC.', 'Civil Engineers', 'INDIA']
['Educational Services', 'Withdrawn', '53715', 'UNIVERSITY OF WISCONSIN-MADISON', 'Economics Teachers, Postsecondary', 'SPAIN']
['IT', 'Withdrawn', '53717', 'GEORGE VENTURES LLC', 'Software Developers, Applications', 'INDIA']
['IT', 'Withdrawn', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Computer Systems Analysts', 'INDIA']
['IT', 'Withdrawn', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Software Developers, Applications', 'INDIA']
['IT', 'Withdrawn', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Software Developers, Applications', 'INDIA']
['IT', 'Withdrawn', '53719', 'ADAM INFORMATION TECHNOLOGIES, LLC', 'Software Developers, Applications', 'INDIA']
